五星评分,有用数,评论
较差,209,"看着周遭一片好评面面相觑：难道我脱离群众了？  我的真实观感：情节破碎人物虚浮，融了一堆热门议题的女权主义党建片😑没有任何反对女性主义的意思，但确实也感受到了女性主义在国内的发展现状：太多表达，太多口号，太少落地。 
本片唯一亮点：听母亲做的家务声音猜音效。（但再好的瑶柱也没法给不好的菜吊味呀……）"
力荐,181,小马说他把铁梅的每一篇文章都看过了，但事实上是茉莉看完并记住了铁梅写的所有东西。
力荐,1591,用喜剧外衣包裹着的伤痕累累
很差,348,主动送上门约个炮就爱上第一次见面的野男人，还让他对你专一，要和他恋爱，知道他有很多炮友就吃药自杀；因为恋母看一眼就爱上老女人，结果她只想和你啪啪，不想让你走进她的生活，看个电影都不行；中年夫妻就得带环或者结扎，离了婚还纠缠不清随便来家里吃饭；与陌生人和小孩子大声讨论月经，一帮男的也一起讨论，还研究月经是不是蓝色的；小学生写个出游的作文就都得写出国经历，一句“你们那公立小学，不是所有人都出过国的”我以为这是日韩片呢；“优衣库事件”还是女的主动要求的，一句“男人很好玩的”还是对孩子说的……这又假又矫情又尬等等等等的玩意，就封为神作了？！真low，想吐🤮
推荐,1568,已二刷。我坚信喜剧是聪明人干的，邵艺辉就是，她的文本依旧灵动，已经具备了鲜明的个人风格。与《爱情神话》的都市群像塑造相似，却更女性向。很多时候不是用技法，而是靠感知，就像导演在社交媒体上一样，在电影中也直白表达各种观点，代表她对这世界和时代的看法。三女主分属女性不同阶段和面向，各个鲜活，她们的主体意识得到相应的发展；男性退居其次，开始有所反思。很喜欢那段声效蒙太奇，把小孩逐渐听不出的声音平行剪辑为隐形家务，看不见的隐形家务，就是看不见的女性。人与人关系的描写也是多样的，不再局限于单纯的男与女、婚与性，有时还能巧妙地在边缘游走，从容又不紧绷。
推荐,1082,你可以说它不“电影”，但你不得不承认你喜欢它
力荐,618,女孩应该怎么打鼓？你怎么打女孩就怎么打。
还行,1986,出了电影院我甚至拷问自己，我不喜欢这个电影是不是我有问题？对我来说，这部电影讲述得一切都太正确了，正确得令我乏味，正确得犹如今年的脱口秀一样乏味。
力荐,380,那段母亲手里的声音孕育了整个世界的转场够我跪着看了
力荐,637,四星半。暴脾气单身编辑母亲、讨好型女主唱录音师、尚待开发自我天赋的小孩姐，三个互为对照的女性，与身边不同年纪却被驯化得如出一辙的男性，勾勒出属于当下生活的通透浮世绘。邵艺辉用镜头公平地对准着人的复杂多变，俗世桎梏可以令对错好坏同时存在于每个个体之中，但为何“女性可以洞穿男性，却只有女性才能真正理解女性”，是所有男性一辈子需要研学的课题。当茉莉富有想象力地猜测着小叶收集的声音，与铁梅身为母亲辛勤劳作的种种声响相交叠，视听语言的能量穿过银幕力透心底，胜过千言万语。宋佳、钟楚曦、曾慕梅，充满魅力的女演员。
力荐,381,戴老师说过：“电影这艘大船要沉了，所以男性纷纷弃船而逃，而女性就像在面对任何灾难时刻一样挺身而出去接替他们。”现在，她们甚至做的更好！就像是《自由引导人民》中象征自由的女神一样，带领着电影走向未来！过往的男性叙事中，我们要么蛇蝎，要么悲情…事实呢？是不管发生什么，我们总有办法！无论是《好东西》还是《山花烂漫时》，女性叙事从来都不是展示苦难，咀嚼困难的，因为我们足够自信乐观，才能直面悲剧！有人说导演是中国的Woody Allen，就像我挺爱这个掉书袋子的老头儿一样，同样喜欢导演。不然呢？要去喜欢将那些网络热梗并入电影叙事中，并开创“抖音电影”这一新的电影类型的某些男导吗？用拟音表达具象的母爱，太聪明了！女性的爱是“藏”，男性的爱是“显”，就像小孩问他爸：“你这样对我难道不是应该的吗？”灵的嘞！
力荐,33928,最爱小孩子猜声音那段，算得上看过的电影里相当浪漫的叙事了。很温和也很有爱。
力荐,25370,我正直勇敢有阅读量，我有什么好可怜的！
力荐,19357,“你看过几本上野千鹤子啊？”，一想到这么好玩的电影热度不大我就急的团团转
力荐,21145,茉莉才是看完了王铁梅所有的报道。去创造新的游戏规则！
力荐,19317,年度最佳！评论区有打一星、说邵艺辉吃女权主义红利吃上瘾讨好女性观众的，就算是，怎么就不能讨好了，是我们女性观众不配被讨好吗？在吹毛求疵什么呢？我就吃这一套！更何况这部作品也根本谈不上激进，甚至电影里对男性形象还是美化的，没有表现出丝毫对男性的恶意，非常真实、细致动人！那么多成百上千讨好男性的电影怎么之前不说？在男性英雄主义角色玩转乾坤、占领话语权的时代，难得有女性导演脱颖而出，打造了一个现实主义但女本位的世界，完成度极高，剧作功底极好，如此优秀的作品，不应该多多鼓励嘛？(部分男的不要去我主页动态底下骂我了，攻击不到我的，你们这种行为让这部片子的含金量又增加了)
还行,1025,"整部电影像一部小红书电影——精致，漂浮，所有人像踏踏啦自拍时松弛感大笑那样，用力过猛地在我女权的g点上敲架子鼓，每次爱女的时刻我都因为过分被媚到而恨不得坍缩成一颗灰尘。说它漂浮是因为它展现的一切都太美好了，这里面最有攻击力的男的是一个马尔福式的小学男生。但是有意思的点是其中王铁梅发文受到攻击这件事，它很有可能是真的，这恰巧点出了一个现象，那就是我们网络女权的议程和现实生活中老中的女性困境脱轨。我们真正面临的男性完全不是电影中这样的丑角女权男，而是上街捅人的incel，但我们的网络议题还真的就在集中讨论女性形象，建构，结构性压迫。如果说真的这就反映了上海的真实生活，那我要宣布现在最主要的矛盾就是阶级矛盾。
不过anyway这部电影出来大家能讨论讨论然后激女能少骂点女人，那也是功德一件了。"
力荐,14786,章宇被扒衣服的那一段，全场女生大笑，我们什么时候在中国的电影里看到过这样的场面，共享过这样的笑声？当影片迎来一个非常俗气的结尾，闪耀的聚光灯照在小孩儿头顶，如此土气的设计，却让我觉得是最棒的一幕。我们何尝拥有过这样耀眼的结尾？我们看了这么多的电影，看了那么多逆袭的主角与光辉的英雄，终于，这盏俗气的顶光打在了我们的头上。我们看了太多他人的故事，甚至很难找到一张镜子，让我们能够看到自己。但邵艺辉为我们写作，给我们安慰，给我们希望。我当然希望明天会更好，也希望有一个可以依偎的臂膀。
力荐,15608,太喜欢了！是那种看完了会庆幸“啊我来电影院就是为了看这种电影！”的感觉，每一个点都可以精准地戳中自己，在全场无数次的大笑鼓掌中收获了特别多的感动和愉悦。邵导继续稳定输出，依然发生在上海，这次聚焦当代沪漂人的日常，态度温和但表达坚定。单亲妈妈不必是超人，恋爱脑也没什么可耻的，你可以犯错可以脆弱可以愤怒也可以胆怯。创作虽然会痛苦，但做一个台下鼓掌的观众也没什么不好，男人是可以雄竞的，没有血缘也是可以组建家庭的。街头可以弹唱也可以cos，小朋友也是可以不用卷的。女性叙事跟女性表达当然不用总是苦哈哈的，但如果还有人没看到那就要一直重复一直说。拒绝“爹味”叙事但支持“妈味”表达！现在可以光荣地宣布，这不仅是好东西，更是中国院线最应该出现也最值得被看见的东西！激情五星了！
力荐,14762,硬刚尾随男、怒怼随地小便男、正视自身需求拒绝不合理不礼貌的性行为……在一秒24帧率的大银幕上，以光明正大的“女性凝视”，且视他人凝目如鬼火，去回应去鄙视长久以来不文明不尊重女性的行为，简直不要太爽。所有女生都该看的一部女性爽片
力荐,9724,手松一点可以五星。比《爱情神话》更普适也更辛辣。这哪是中国的《芭比》啊，这是中国的《弗兰西丝哈》。
力荐,11468,《她不想打拳》《男人还挺好玩的》《不雄竞了？》…多好的生活文学啊，多棒的表达啊，别再面面俱到了，我们为什么不能搞砸呢，是谁在裁判呢？
推荐,42092,给母亲的家务活拟音配音的真的是年度名场面。
还行,5873,两个小时的《邵艺辉脱口秀专场》
推荐,26112,女儿听声音的那场戏说明了，女性的声音，也是世界的声音。我们通常没有用这种方式去留意过、听见过、定义过这些属于女性的声音。
力荐,10284,"邵艺辉太灵了，小宋佳太灵了。
窝囊废男人赛道支持赵又廷闯入，终于不用被某男垄断了，看不下去那张脸。"
推荐,11138,"这是一部充满了善意，还相信世界会更好的电影。尽管片中《明天会更好》的副歌几乎唱全，只差了那一句“让我们期待，明天会更好”。

这是一部真正意义上的女性主义作品，不仅因为满足贝克德尔测试，更因为，它跳出了1.0的苦大仇深、复仇心态，进入到一个打翻了二元对立的混沌状态，并把女性的主体性，真正凸显出来。

这是一部一切都关于性别，但又不仅仅是性别的电影。街头的歌唱、家中的种菜囤货、调查记者的失落、校园举报的泛滥……无不在提示，“权”字之前，不仅有“男”，还有“父”，有“公”。

靶子是老的，但拳套是新的。这就是“明天会更好”的希望。

“冒犯”之语，都借小女孩的嘴说出，不是避重就轻，而是在说，下一代将建立一个新世界。而我们今天的“因”，就是明天她们的“果”。

是好东西，去看吧。"
较差,416,我开始不懂什么是电影了，电影的本质是讲好故事还是输出观点，这真的不是两个小时的脱口秀专场吗？它凭什么这么高分？电影不应该是突出主题让观众从心里看到观点吗，怎么变成了全靠角色用嘴输出？而且形式还很像漫才，有人扮傻，有人吐槽。
力荐,10331,好东西仅好东西可见
很差,577,性别红利是吧？原罪是吧？结扎是吧？这都能过审，斜塔已经是脸都不要了。
力荐,3778,虽然看之前我已经知道了剧情，但影视语言还是大大超过了我的想象。小孩在听录音那一段完全是视听语言才能表达的诗情画意，我满脸是泪。故事里的小孩像我小时候一样感受到了大人们的困难，也感到胆怯。不一样的是，她还能看到很多能为她做榜样的大人。我四十多岁才看到这样的电影，她9岁就能看到了。这让我感到希望。高兴，11月的开心事。（另外请大家仔细看字幕里面有我的名字！）
力荐,7386,昨天看完散场时，背后一个男的用一种逗小孩的有趣口吻对女伴说：怎么样，回去要写个几千字的观后感呀~简直是个最佳CALL BACK
力荐,3075,"女儿猜声音那场戏太妙了，不是下雨打雷也不是龙卷风，不是自然，是妈妈。
世界在妈妈手中诞生，妈妈是我小小世界的神祇，妈妈创造一切，妈妈无所不能。"
力荐,1677,赵又廷：中国的ken
力荐,5724,王茉莉才是看完王铁梅所有报道的人！！！
力荐,4106,这才是我想看的女性主义。想推荐我每一个女性朋友都去看《好东西》。但最戳我的一段是在地铁上，那个陌生女性一个轻微的动作。
推荐,6767,一扫阴霾，抚慰人心，走出影院的时刻心情无比灿烂。几乎是每一个在都市缝隙中风尘仆仆的你我的写照，被原生家庭、性别困境、身份标签裹挟，被迫训练出与琐碎、烦闷、孤独和对自己的不认同和解的能力，在自嘲自省中打破偏见与隔阂，放下助人情节，尊重他人命运，并毫不吝啬地释放出善意与爱。不再困于“你还爱我吗”“你爱过我吗”这样以占有和承诺为终极目标的陈旧情感模式，将目光投向丰富而具体的场景、事件与对话，在一段段因缘际会又瞬息万变的时间切片中记录着人物情感的升温。辛辣、精准又令人捧腹的讽刺丝滑地嵌入情境之中，无须利刃便足以生成穿透现实的力量。相较《爱情神话》，更加平和与自如，向导演致敬，华语年度五佳很稳。
推荐,5688,它没有那么好，节奏松散，俏皮话有点刻意，转场靠bgm，处处都是导演的表达欲……但我们确实需要，需要一些放松的时刻和小小的呐喊，需要短暂的逃离，像课间的十分钟，像一杯去冰微糖版的霸王茶姬。
推荐,4100,我太喜欢听声音那场戏了！不是打雷不是落雨，不是山崩地裂，是抖松洗完的衣服，是收拾散落的蜡笔，是挥动锤子修理房子，是炒菜煮饭，是打包封箱…源自日常体验，又超出日常体验。不是小妞电影，故事是关于了不起的人类，与痛苦的成长创伤对抗，理想化为身外物，为成为新的生活角色（妈妈）变得更有所能，神曲是她们日常生活的节奏。
很差,593,"这部电影导演为了迎合女性市场需求，想方设法拼凑故事因果，导致整部电影非常做作，像都市轻喜剧的小品片段大杂烩。钟楚曦的表演浮于表面，这个角色集父亲家暴+母亲打压+离家出走+酗酒+抑郁+民谣歌手于一身，buff叠满不知所云。宋佳表演很稳，我可以感觉到她在尽量去把故事合理化生活化，然后电影不是演员的个体行为，很显然她的努力效果并不好。两位男演员表演没有问题，章宇身材很好，赵又廷颜值在线，没了。
我希望那些口口声声为了女性生存现状努力的导演能够脚踏实地沉下心来去研究当代女性问题，而不是哗众取宠。"
还行,3004,有几个单场戏处理得不错，尤其是听录音那段，但是这整体上，特别满又特别散，就像是90年代国产都市片的性转版加上很多纽约客电影的风格，很多问题和《爱情神话》很像，却更用力地在戳豆瓣文青的嗨点，有一种在看豆瓣文艺大V广播和书影音点评串烧的感觉。台词上的设计感比《爱情神话》更强，显得更做作，使得很多生活气息都被“精雕细琢”的台词给消解了。两个小时的电影略显流水账，节奏感比《爱情神话》也差了很多，很多戏都看着像电视剧，甚至这样的人物关系更适合拍电视剧。还有，章宇和赵又廷对戏真像一对基。
推荐,850,一个女人当第一性的小型乌托邦，好当然是很好的，就是再松弛一点就更好了，感觉导演因为太想输出把很多场拍成了奇葩说，预设一个话题然后双方辩手出来妙语连珠。我喜欢女人强大机智雄辩，但也希望下面有真实的底色，是活人微微叹出一口气的无奈和狡猾，这样的情节在宋佳叫住章宇说要给年轻人一个机会时灵光一现，但很快又进入下一场辩论赛了。
推荐,1785,比《爱情神话》更落地，宋佳前调查记者的职业部分很真，尤其跟章宇一起和面时的对话，一方诚挚地说我看过你全部的报道，你为什么不继续做记者了？另一方已经既明白这是殷勤的示好，又被问得快恼羞成怒了差不多得了别说了。
很差,516,真的很讨厌这种标签混合物电影。好像讲了女性困境、新闻困境、爱情困境、教育困境…但却不停地消解很多严肃的话题。真的非常非常非常非常非常非常讨厌。麻烦已经占据社会资源的导演编剧们，不要为了恰烂钱就制造垃圾好吗。
力荐,3398,你可以走出影院之后觉得这不像电影，而像电视剧，脱口秀，或者播客，但是你没办法否认坐在影厅的时光是惬意舒适和无比投入的两个小时
力荐,3665,我们女人就该看这种好东西！！
力荐,2771,想打十颗星 我活着就是为了看这样的好东西
力荐,1413,拟声展示劳动价值那段是我近五年看过最温暖平静又震撼的片段
力荐,1714,上艺辉实验小学，听泰勒斯威夫特，做最酷的女鼓手。不看好东西就是可怜的东西！
力荐,1137,我宣布邵艺辉是中国女性的懂王
力荐,1055,女导演们多拍点吧，求求了，我正直勇敢有阅读量，就配多看点这种好东西。
力荐,528,"我们花钱去电影院就是为了看这种电影的，邵导加油啊！三个女性的群像太赞了，不同阶段的她和她和她。
开场的“袋鼠妈妈搬家公司”很细节，王铁梅的衣服都像旁白。被男人尾随、看到男人随地大小便等应该怎么办？地铁上的女性把铁梅昏睡的头拽到自己这边，烟酒都在自然而然的场景但又不酗酒。
好几次我以为导演差点要捅破边界了，她又很幽默的拽回来了，她开个细节的头，希望未来有更多人展现出来。
铁梅说女同事怎么穿这个衣服下一句是链接发我，铁梅说女同事怎么吃这么多，女同事说不要引起容貌焦虑的时候，铁梅说你吃的是我的饭团哈哈哈哈哈！
男性结扎也是口头说说，育友，雄竟，香不香的男人客体化视角，看完觉得“本应如此”。看两本女权书就开始当“女权爹”是真典啊。
爽了，余味悠长，多看书~
我正直勇敢有阅读量，我最棒！"
力荐,1623,胡医生真的就像是从交友软件里直接拉出来的一样，绝对典中典，听到是有妇之夫他更来劲了，听到是les被他扳直就更爽了，最后听到为了他自杀把他直接给爽死了，“ 爱我便是 ”在中国影史上应该有一席之地。
推荐,825,表面上是三个女性的故事，但却包裹了更为丰富的生活和表达，字字珠玑的精彩对白是博君一笑的调侃佐料，那些看似一笔带过的闲笔却更具力量，那些个体和难以直言的，那些同样急迫的声音，街边歌唱的人们，不再被需要的新闻媒体人，背景里巷口亲昵的恋人，以及教育下一代的老师。所以关于女性又不仅限于此，如此温柔、正直、勇敢且包容，是最纯粹和真诚的女性表达。
力荐,901,看完发现演员表上赵又廷角色名叫前夫，男性角色没有名字，让我不由想到，那些所有淹没在工具属性里的女性角色，原来这么爽的日子他们过了几千年。
较差,436,杨笠脱口秀大电影
较差,283,这年头是不是用公众号逻辑做电影就足够兑付二流观众了
力荐,2081,像回到子宫一样舒适的电影，不需要担心被冒犯。
还行,1124,不跟《爱情神话》比可以3星，跟《爱情神话》比的话只能2星了。完全放弃了电影叙事，各种网络金句式的台词和梗层层堆砌，没有融进故事，浮在表面。犹记得前作各种灵光乍现拍案叫绝的场面，流畅有趣，游刃有余。这次放弃了小而美，拥抱了大而空。以及包括宋佳，钟楚曦等人的表演特别生硬，想念马伊琍和倪虹洁那极度天然，浑然一体的吐槽和讥讽。和《爱情神话》里贡献了华语电影难得精彩的餐桌戏相比，这里的餐桌戏分明是吵不起来硬吵，话赶话的机锋和揶揄讽刺全然不见，只剩尴尬和扭捏。（赵又廷的那个角色设计很不错）好在导演的诚意和现实关照意图还在，上海的地域性特征虽然淡化，但那年那月我们都还记得。
力荐,2366,其实真正看完妈妈所有文章的是女儿
较差,2258,这跟《爱情神话》比，好像女主一样，真是“放弃理想”了。有些调度还不错，台词也挺调皮，但用力过猛的宣教痕迹比比皆是。如果女权真的是平权的话，一个把异性当工具用，努力奋斗只为适应职场游戏规则，冲到哪儿都指手画脚自以为是的人，无论哪个性别都应该对自己有足够的反思。可我们在这里看到的主角却毫无自省，随时随地自我感觉良好，只因她性别为女。各种以性别定善恶的刻板印象，女人天生圣体，而男性要想成为“好东西”，当舔狗、土狗或者看门狗都还远远不够，只因身负怎么忏悔都洗不清的原罪，这就是所谓“新的游戏规则”，堪称新时代的阶级斗争样板戏。这是真的在关心两性平权，还是想赚一波性别红利？片尾画外响起那句著名的everlasting arms，却在字幕里改成了“彼此的臂弯”，小视频味道破表。
较差,1826,很失望，远低于预期，导演已经放弃导演技术和视听语言了，完全让步于嘴炮轰炸和精致金句，不知道是不是怕角色在电影结束前表达不完还是咋的，每一句台词都在试图证明自己「你看，我多精妙准确又有想法」，上一次看到这种腹泻式表达还是 N 年前赵宝刚的奋斗，观感很像又看了一次《惊奇队长》但变成了语料更足，气势更爹，冲动和无节制地更 teenager 的纯态度输出片，已经不是电影了，更接近于拼命折腾自己也折腾角色的纯演讲。看着很累，几度看表。选角也不是太好，看演员表惊艳，实际又没化学反应，可能演员也没想到自己变成纯念台词的工具了吧。。。不推荐
较差,1157,不如《爱情神话》，神话的底子是衰弱的男性，爱情与男性气概脱钩，孔雀开屏换不来母孔雀的崇拜，那种弥漫的失落感和可贵的女性独立是真实的。这部底子是进击的女性，邵导很善于将脱口秀、sketch、漫才、live hose…的节奏和框架引入电影叙事，小空间、小情绪、小吐槽，上海成了一个大型的小剧场，也让整个电影笼罩在粉红泡泡里，离实在世界距离甚远。她迫切需要宋佳带着两个“女儿”向世界还击，彰显个体独立，可还击的对象却选择极小概率的几个男性，他们必须能承受起女主的全部情绪和吐槽，他们要身姿更柔软态度更真诚负罪感更沉重，但我们知道这种羊驼化的男人有多么不真实，哪怕是上海自我过大过剩的的男人依然是主流中的主流。观看完除了另一种玛丽苏的幻想大女主，依然很难找到更贴切的词汇了，导演只能在自造的假场域内起舞。
很差,1952,真的不会很多梗过于刻意了吗？一定要拿出来说事儿才会觉得有些东西是值得被看见的吗？我觉得是没必要的 虽然支持女权但现在更支持平权 没必要天天把这些梗刻意的拿出来说事 有些东西说多了真的会觉得boring 真的没必要
很差,880,尬穿 空洞 时而说教时而假装反抗说教 为了拍而拍 感觉到编剧构思时的笔力匮乏 一种前作不错 续作续上 赶鸭子上架的赶制气 像消费陷阱里一切想捞一把的产业模式 音乐版权也下了点本 还特意买了那首hack结尾唱红的《the story》 但是用了更俗的那版
还行,311,有佳句没佳章，像阅读理解试卷，讲一段就总结一下，什么议题都沾了些，炖了一锅大杂烩，看完只记得一些口号。唯一有意思的是那段声音的蒙太奇，全片最有意思的段落。
还行,165,不刷抖音不看小红书的我也不觉得多新鲜 像是照着微博热搜一条条抠下来组成的段子合集 如果爱情神话的灵气值是100分 这一部可能刚及格且全部用在了给做家务配音那一段
很差,265,一些女拳的意淫，猎奇的微博评论式靠丑化/扁平化男性搞男女对立言论博眼球赚红利，麻木女性观众，闭门造车，让女性自娱自乐，降智，煎熬
推荐,414,"其实更偏爱前作，这部过溢金句输出确实有豆瓣特供感，雕琢感较强烈，且卡司也没有《爱情神话》来得贴合——“女权表演艺术家”居然最贴合怎么回事！
很多观点或许可以稀释一下延伸到以后创作中去，但可以理解导演的表达愿望——因为我们的院线实在太稀缺这类充盈着轻盈感的“好东西”，表达女性立场和诉求的叙事往往落地于沉重或惨情，而在有限范围内逐渐进步的时代语境下（覆盖面存疑），以一种更“现代”的姿态去直面性别问题、情感关系，才更契合“明天会更好”，才有可能“建立新游戏”。
或许成品还有上升空间，但我们要求的不是完美，而是破零后允许不够好，允许不同声音的出现——这就不得不赞美最具电影感的听录音桥段，让女儿和母亲在声轨交叉/匹配后有趋同的可能，这就是两代三人之间传递-镜像-联结的结构共同体。"
较差,928,【96】这片儿用她自己的话说就是“女权表演艺术家”～仿佛在看抖音段子和小红书热帖，这种抖机灵感不会因为你抖的是女性议题就显得更高级～多一星给除了章宇以外的其他演员
力荐,632,期待已经很高了，成片却远远超出期待。轻盈、睿智、敏锐、坦诚、细腻，同时可爱还十足十的幽默。希望大家都去看！！！！！一部值得走进电影院，坐下来好好看的电影！一部真正的好东西！
力荐,1254,断层式的年段最佳！嘴巴大笑，眼睛尿尿。在复杂性里可爱，在深刻性中可爱。猜声效那一段是我见过最浪漫的现实主义。导演我爱你！
力荐,1134,勇敢正直有阅读量，做女孩和女人很美好呀
较差,787,假东西。特供小品的流程，不也是撸一遍社会热点、捡两个网络段子、拼了命攒金句，最后升华为同一首歌么？比起《爱情神话》可谓断崖。抽走上海话，市井气与真实感随之而去，暴露出一切无非颅内的符号游戏。人物关系都不太成立，人物本身也是妈不像妈，乐手不像乐手，孩子不像孩子，那种“假天真”（faux-naïf）很快变得讨厌。像国师找的对口型小孩。王铁梅几乎像外语课本里的“韩梅梅“，不是在生活，而是在演示“生活”。（广受赞誉的猜声音那段，其实恰恰显示出【妈妈】是种【柯达一刻】式的广告拼贴，且与她更具个性的文艺酷T形象脱节）它要回到“小孩子”的哭和笑，而不像前作中的真·成年人（面对下坡路）一声叹息。PS 明天会更好，必须加一星。PS2 赵又廷真的好笑，让人梦回维舟、林三土之类急吼八吼的女权解释专业大爹，加一星。
力荐,878,因一个人爱一座城的老乌，这次依旧语出惊人说得出“我不是那种喜欢点评人家女孩的人”，鲜得来！不管是“爱情神话”，还是“爱情障碍”，都是活得通透有着自己人生态度的上海爷叔。《爱情神话》忠实影迷意满离
力荐,690,女人就是要看这种好东西才有力气继续讨生活
力荐,331,去年看完芭比我感叹说还是第一次在商业电影院里看到“父权制”这词，没隔几个月读书会上嘉宾问我，“中国现在有称得上女性主义电影的热门作品吗”（要说老电影小众文艺点的确实有，但热门新片里挑一个还真把我蚌住了，想了一会说咱总不能管陈思诚叫女性主义电影吧）。结果没想到！有生之年系列它来了它来了！本片不但通过了贝克德尔测试，梗多又密完全是中国语境下的讨论（举报文化、新闻业消亡），并且还是华语电影里少见的反映当下生活的都市女性群像题材。即使缺点明显，但这真的是电影叙事里女性主体、男性从属的颠覆视角的罕见尝试，“非电影感”其实是种靠琐碎对话连缀组合起来的女性词汇特点（我都能想象电影研究者多激动）。同时感觉还难得地适合当长假合家欢电影，毕竟这么温和包容都无法接受的话，确实也没必要在一起浪费宝贵的长假时间了。
较差,564,邵艺辉已经彻底完了，连《爱情神话》里仅有的一点灵气都无了，通篇都是文艺女中年自以为是的臆想与自我感动。咱就是说，没离过婚不要紧，没带过孩子也不要紧，认认真真的，严肃的，去和单亲妈妈们，去和一线二线三线城市里努力生存的年轻男女们，好好相处上一段时间，充分了解清楚她们的工作与生活，她们的困境与挣扎，看看她们是怎么拼搏的，怎么思考的，怎么讲话的，怎么表达情感的，看看她们一个个是不是像你电影里那个傻杯样。仔细想想也挺悲哀的，难道这就是“独立女性”在导演眼中的样子吗？难道我们国家的男人与孩子在导演眼中就是这个样子吗？当你准备把摄像机对准她们之前，请先做到尊重她们与他们。
推荐,651,谁说没有老妞电影啊，这老妞电影太好了🥹
推荐,436,王铁梅为什么不做记者了？一部建立在沉默和失语之上的电影，却在竭尽所能地展示和言说。怎么形容这样的创作呢，它抚摸生活的褶皱与城市的纹理：街巷的纵深，老式建筑上下楼的砰砰声，水果店里的谈话（长镜头），宋佳背着小女孩走在人行道上偶遇了一群唱歌的人。温柔的，强大的，包容的，跨媒介的。这样视听调度全面超越《爱情神话》小资旨趣（徐峥连走在街上都像是棚拍）的作品，你们却跟我说这叫剧场、小品、脱口秀？试问这样一部把女性主义话语当作谈资和笑话的作品，真的输出了什么东西么。三女性多元成家的全新关系性已远胜过那些话语，它最女性主义的地方恰恰在于它其实站在了《芭比》的反面，是生活与现实全面地侵入了剧场。
还行,217,3.5，邵艺辉没有建构场景的能力，但她用以融梗的素材库确实足够支撑她实现以不断堆砌的设定来替代人物，用段子替代交流的目的，达到了一种绝对商业化的完整度，女权话题成为一种正向的时尚单品。连小孩都在女权，还有比这更强的宣教电影吗？
