五星评分,有用数,评论
力荐,2808,李一民和丁梦华的故事我仿佛看到过，“我就是一个小人物”，每一个小人物都可以成为一个发光的星。故事的开头没有什么新意，甚至感觉那种激烈的情感在当今世界格格不入。但是电影的魅力就在这里，它让我等一等，慢一点，当我进入他们那个年代，进入这个故事，我终于可以有所感受，有所触动。一团微光带起心中的火苗，这就是曾经的他们和她们带给我们的。好电影，好演员，好剧本。
较差,172,二字弟弟，一言难尽啊。
力荐,2408,这种题材不错 很紧凑的感觉 挺好看的
很差,428,这是灾难片吧，全员灾难，剧情灾难，主演那个男的像被蜜蜂蜇过全脸，整一小孩子过家家
力荐,2304,值得二刷的一部电影 个人很喜欢看谍战悬疑题材的电影 更难得的这部还是一群热血的年轻人的谍战 总体来说演技都很在线 每个演员都能接住戏 看完后刷到说这部电影是真实历史发生过的第一次影视化 也算涨知识了 致敬英雄！
推荐,1030,"青春谍战+悬疑反转，国产电影中比较罕见的类型。

其实在那个风起云涌的年代，很多时代弄潮儿确实都非常年轻，除工人运动外，学生运动也是一股不容忽视且非常重要的力量，电影中开篇的五卅运动正是对这样一个背景的呼应。所以二十来岁的王源确实很适合这个角色，本身他的形象就充满少年气息，同时在气质层面也符合我们对那些先辈们的鲜活想象。

另外，钢笔这个意象在片中显得尤为重要，是对“知识青年”的一种体现，也同时契合了教员“笔杆子和枪杆子”的理论，这个点的设计还是好的。以及最后的反转蒙太奇也挺有意思。

总的来说，导演启用颇具号召力的王源，拍摄这样一个瞄准年轻市场的谍战片，可以吸引更多年轻人来关注这段波澜壮阔的历史，而不只是中年人口中的谈资，也是挺有价值的。"
推荐,1086,"就是以经典的惊险片格式，拍了一部谍战电影，如果把该片的时代背景替换，妥妥地就是约翰·弗兰克海默或威廉·弗莱德金式电影。如果再将故事模式替换，妥妥就是一部“同学聚会”互道珍重的青春情怀电影。
比起其他电影做出革命浪漫主义姿态或者直接升华主题拔高一切的做法，电影将伟光正的形象全盘隐藏在故事背后，文本上的精炼，着眼于对行动目的描述，换来的是主线的专注。最后一幕的叙事性诡计还挺有意思，介于动容和爽快的情感往往是最复杂的"
力荐,2208,剧情反转 层次丰富 没想到能这么精彩 每一个年轻演员的演技都挺好 是我今年看的最好的一部电影 在想明天要不要跟朋友去二刷 看看有没有细节遗漏 电影好看😍😍😍
很差,264,流媒体电影，比起同样流媒体上映的洋葱屋，还是不及格水准，为什么2024年了还拍如此老套无聊的谍战片，另外，二字为什么长这么丑了
力荐,2169,昨晚发现点映反响很不错 就近买了一张最早的电影票果是没有辜负我的期待 节奏紧凑 悬疑感拉满 青年演员的热血与无畏令人感同身受 尤其是王源 上一次看他演戏还是我和我的家乡吧 比起那部电影显然有了长足的进步 特别喜欢他的眼神戏 当然动作戏也不错 总之是一部很合格的谍战片
很差,463,看过的人摸着良心说，这种题材烂成这样，对得起先烈吗？
较差,131,孤星计划，一出主旋律题材电影，王源的演绎不予置评，给我的感觉非常出戏，流量演员不适合演戏是真的，配乐煽情到无语，在1924年背景下强加那种与梦华的cp对手感情戏，很无聊，很尴尬，演员梁靖康，算是中规中矩，最后反转不错，但是演绎其实不算太好，比他以前作品更差，唯一亮点就是反派印小天的演绎真心不错，将人物彻底演活了，反派做到坏透了，故事大致上不停反转再反转，让情节更加跌宕起伏，但是这种主旋律题材造成的固定套路太多了，看的已经有疲惫感了，无聊无语无趣真心让我如坐针毡如芒刺背如鲠在喉，给4分
力荐,566,"“我们终究都会离开这个世界/渺小又如此可怜敌不过世事变迁。既然无法改变何不一往无前/咬紧牙关力挽狂澜”
从家国的宏大叙事到平凡的个体叙事，整个电影聚焦于一群青年，他们中有小工人，有大学生，也会因为家国，因为友情，因为信仰等相聚在一起。也为了一个伟大而艰巨的任务，奋力一搏。
结局是没有主角光环的，他们也为这份信仰的达成而牺牲了性命。但并不那么遗憾与悲惨，这份家国情怀得以实现，我同行的伴，也以另一种方式再次重聚。所以，“信仰，会让我们再次相逢!”
李一民和小圆的歌给我的感觉很像。这种微妙之处在于，相较于技巧，能更明显更突出感受到他与人物、歌曲的“交融感”，仿佛本就一体，有很强的代入感。电影里还有很多细节的表达，经得起推敲和细品。李一民这个角色确实演得很好很好，是一束光，也是一把火，点亮这暗夜。"
很差,317,王源磨皮看来花了大功夫了。。。
推荐,758,一部渐入佳境的谍战片，前面我真怕拍成一边闹革命一边谈恋爱，还好并没有。后面残酷性和谍战味儿一下就上来了，反派智商在线，伏笔细节极多，结局很悲壮、很严肃，不儿戏、不说教、不过度煽情，值得四星鼓励。
推荐,1125,强悬疑类型包装下的历史故事，主角仿佛落入修罗场，暗流汹涌中杀机步步逼近，难以辨别身边众人究竟是敌是友，可却又必须想方设法逃出生天，导演非常聪明的用类似“剧本杀”的故事思路，将一个本可能略显沉闷的护送任务，讲述的充满紧张和肃杀感，角色和情节的反转接连不断，又在所有悬疑线收尾后还能完成表意的升华，对乱世中的平凡人而言，正义不是被迫的义务，是自我选择的信仰，是明知不可而为的崇高。
很差,421,不适合的赛道还是别来了 信了粉丝营销 浪费我钱
很差,252,这也能叫谍战片 是我格局小了
推荐,640,徐展雄导演非常聪明，镜头语言使用得非常准确——凌厉、破碎的镜头，却能梳理出连绵贯通、动人心弦的故事，让人一面陷入到巨大的同情和悲伤中，却又忍不住关心着接下来的故事。作为商业类型片，戏剧冲突设计的很巧妙，尤其是在谍战双方对垒的时候营造出来的层层紧张感，王源在这部片子里也可圈可点，高低有点超出预期。
推荐,265,朋友邀请看的，看之前以为也就是个会让人忍不住打瞌睡的无聊电影，但看完之后还是蛮震撼的。客观来说，身为谍战剧前期节奏把握得不好，男女主反复的慢镜头回放让人觉得反感，不如后期两人在电影院看的《劳工之爱情》这种隐晦的表达，感情线的留白恰到好处。丁梦华的牺牲开始把电影推向高潮，不得不说张雪迎的演技真的好，演出了梦华的温柔坚定有力量，她和章贵生的对峙是整部电影的高光时刻。后面剧情环环相扣，反转也有点让人出乎意料。还有就是男主最后火光中的笑容，透露出一种舍身取义的勇敢与坚定，真的很难不为之动容。这样一部集齐了热血、青春、悬疑与谍战元素的群像影片，值得被更多人看到。
较差,51,王源早期印刷工的造型有点刻意了，整体而言表现还可以，表演层次不够丰富有待继续进步。张雪迎的笑脸好美。片子结构上再细致点就好了。
很差,209,这片很好的证明了某人根本不适合演戏，你告诉我这有啥演技可言？
力荐,888,看完了，和朋友去看的，王源演的不错，最后音乐响起泪流满面
很差,221,起个大早 看这么个烂片 我服了 早知道在家睡懒觉了
推荐,652,从那首《别丢了你的勇敢》知道了这部影片，王源真的长大了，上次大银幕见他还是《地久天长》里的学生样貌，这次却是一个胸有大义的青年英雄了。随着剧情的层层推进，徐徐展开了一幅乱世群像。尤其是多位青年演员联合扛起大旗，表现出了更多的能动性，每个角色的成长路径也相当清晰——少年风华，本无意争雄，却风云际会，让这些内心有火的普通青年，一步步舍生忘死地投入到这场正义的洪流之中，而且并不是简单的黑白对立，战场无大小，潜伏见真意。这一切都让这样的特殊时代与当代年轻观众的距离进一步拉近。导演竟然是徐展雄，对这个名字的了解还是《重访希区柯克》那本书的译者，他翻译的《黑色电影》有一阵也是研究这方面的案头书。一翻履历，原来人家早就导演过《革命者》等作品，这次的《孤星计划》无疑是一次在原有基础上的新的尝试。
很差,202,难看演技差
力荐,1573,爱国情怀深厚的我，看过孤星计划后感：节奏紧凑充实，剧情反转再反转。内容引人入胜扣人心弦。全程无尿点，一部好电影！致敬为了新中国牺牲奉献的英雄们，珍惜和平，勿忘国耻，吾辈当自强！另：演员演技全员在线，尤其演员王源让人眼前一亮，自然流畅细节到位，他就是李一民
很差,249,很久没这么难看的片子了
很差,143,就这黄建新还敢挂监制，晚节不保啊……
力荐,1581,剧情反转很多，紧张刺激，完全沉浸进去，很不错的片子
推荐,22,来看看迎子，演技还是一如既往的好，超绝台词功底。
很差,324,编剧你认真动动脑子，这样毫无逻辑的故事好看吗？导演你看看你选的演员，演技能看吗？被预告骗去的，电影票的钱就当做慈善了
力荐,1098,真的是太好看了，电影中的每个情节都能深深触动我的内心，特别是李一民在面临国家安全与家庭之间的选择时的挣扎，每一秒都让我紧张不已，尤其是和母亲的最后告别，真的是让我哭成了泪人！
推荐,2989,通篇气质意外的复古，几乎有点当年反特片那意思，没烧尽的笔记，密码本破译，用铅笔涂抹书写痕迹，写在餐巾纸上的线路图，新闻和钢笔专递的暗号，照片不断成为证据以及伪装工具，瞒天过海的障眼法，以及互相渗透卧底的阵营设计，无不是非常经典的谍战片手法，集中表现了没有数码设备的前信息时代，人类潜藏和伪装的古老博弈智慧。动作戏极多，却并非炫耀特技，是以大量的激战转移注意力，在热血拼杀的皮相下面暗暗藏起一个悬疑片的内核，最后收敛枪火，连环反转才是情绪高潮。一些人物命运的对照也有意思，自称不懂政治的人相助理想主义者劈出一条路，自以为精通诡计的栽进了野心挖出的陷阱，而黄雀在后的老狐狸坐看成败岿然不动，标志着战斗还将继续，风华正茂的同学们，继续努力吧。
较差,463,很尬的煽情，无聊的剧情，负分的演技，看到一半就在反思，我是为什么要对积压的谍战片抱有期待呢……
较差,187,平心而论梁靖康在这电影里的发挥是比王源更灾难的。张雪迎倒是很适合自己的角色，但工具人属性又太强了……一天了还是难以接受这种东西被称作“谍战片”。
很差,30,真白瞎了康康
还行,115,还可以
